tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
436,2018-03-01T18:09:37.291000,2018-03-01T18:16:54.018000,307,Canal St & Rutgers St,40.71427487,-73.98990025,268,Howard St & Centre St,40.71910537,-73.99973337,33368,Subscriber,1998,male,
1344,2017-09-21T16:56:43,2017-09-21T17:19:08,3167,Amsterdam Ave & W 73 St,40.779668090073123,-73.980930447578416,3305,E 91 St & 2 Ave,40.781122299341661,-73.949655890464783,27817,Subscriber,1952,male,
304,2017-11-15T09:24:09,2017-11-15T09:29:14,3435,Grand St & Elizabeth St,40.718822,-73.99596,296,Division St & Bowery,40.71413089,-73.9970468,26539,Subscriber,1996,female,
141,2017-07-13T19:13:02,2017-07-13T19:15:24,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,3238,E 80 St & 2 Ave,40.773913902381182,-73.9543953537941,27677,Subscriber,1998,male,
1136,2017-07-13T12:31:52,2017-07-13T12:50:49,303,Mercer St & Spring St,40.72362738,-73.99949601,461,E 20 St & 2 Ave,40.73587678,-73.98205027,18257,Subscriber,1949,male,
794,2018-03-05T18:50:03.414000,2018-03-05T19:03:18.079000,3443,W 52 St & 6 Ave,40.76132983124814,-73.979820013046265,3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,19162,Subscriber,1949,male,
670,2017-06-24T16:24:30,2017-06-24T16:35:40,127,Barrow St & Hudson St,40.73172428,-74.00674436,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,28373,Subscriber,1996,female,
256,2017-11-19T16:04:53,2017-11-19T16:09:09,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,3263,Cooper Square & Astor Pl,40.729514962249489,-73.990752696990967,28124,Subscriber,1997,male,
649,2017-10-27T18:33:55,2017-10-27T18:44:44,434,9 Ave & W 18 St,40.74317449,-74.00366443,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,30779,Subscriber,1946,female,
935,2017-06-16T21:17:17,2017-06-16T21:32:53,3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,492,W 33 St & 7 Ave,40.75019995,-73.99093085,28879,Subscriber,1997,male,
406,2017-08-09T23:13:55,2017-08-09T23:20:41,348,W Broadway & Spring St,40.72490985,-74.00154702,531,Forsyth St & Broome St,40.71893904,-73.99266288,17149,Subscriber,1997,female,
521,2017-07-26T12:10:28,2017-07-26T12:19:10,330,Reade St & Broadway,40.71450451,-74.00562789,3427,Lafayette St & Jersey St,40.724305272503322,-73.996009826660156,25416,Subscriber,1948,male,
391,2018-01-11T12:43:08.348000,2018-01-11T12:49:39.476000,328,Watts St & Greenwich St,40.72405549,-74.00965965,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,14771,Subscriber,1951,male,
4042,2018-03-11T11:44:06.044000,2018-03-11T12:51:28.699000,3323,W 106 St & Central Park West,40.7981856,-73.9605909006,308,St James Pl & Oliver St,40.71307916,-73.99851193,17189,Subscriber,1952,female,
525,2017-07-18T19:07:30,2017-07-18T19:16:15,448,W 37 St & 10 Ave,40.75660359,-73.9979009,449,W 52 St & 9 Ave,40.76461837,-73.98789473,15431,Subscriber,1947,male,
279,2017-10-08T14:39:04,2017-10-08T14:43:43,3454,Leonard St & Maujer St,40.7103685423523,-73.947059512138367,3080,S 4 St & Rodney St,40.70934,-73.95608,21077,Subscriber,1996,male,
277,2018-05-23T18:48:02.935000,2018-05-23T18:52:40.774000,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,32204,Subscriber,1952,male,
863,2017-07-25T07:03:08,2017-07-25T07:17:31,342,Columbia St & Rivington St,40.71739973,-73.98016555,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,21709,Subscriber,1947,female,
1536,2017-07-30T13:43:25,2017-07-30T14:09:02,3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,499,Broadway & W 60 St,40.76915505,-73.98191841,21481,Customer,1999,female,
